"scanid","X","trial_order","pid","time","group","list","task","run.order","rerun","original.run","num1","num2","num3","correct.answer","offset","category","probset","iti_onset","iti_duration","stim_onset","stim_duration","response","accuracy","cumulative.response.time","response.time","timedout","rtcorrect","rerun.order","taskname","training_group"
"9228_1_1.3T2",9,10,1,"pre","VNT",1,"sym",2,0,1,2,4,7,2,1,"small single","Trained_Acc",99.717,6.5,106.21,6,2,1,108.311,2.103,0,2.103,NA,"sym1","A"
"9228_1_1.3T2",12,13,9,"pre","VNT",1,"sym",2,0,1,5,17,22,1,0,"large double","Trained_Acc",138.812,5.6,144.406,6,1,1,148.221,3.817,0,3.817,NA,"sym1","A"
"9228_1_1.3T2",17,18,5,"pre","VNT",1,"sym",2,0,1,9,7,16,1,0,"large single","Trained_Acc",198.219,7.2,205.412,6,1,1,209.56,4.151,0,4.151,NA,"sym1","A"
"9228_1_1.3T2",1,2,19,"pre","VNT",1,"sym",2,0,1,2,17,20,2,1,"small double","Untrained_Acc",12.503,5.7,18.214,6,2,1,20.548,2.336,0,2.336,NA,"sym1","A"
"9228_1_1.3T2",2,3,15,"pre","VNT",1,"sym",2,0,1,5,9,14,1,0,"large single","Untrained_Acc",24.208,4.3,28.504,6,1,1,31.653,3.152,0,3.152,NA,"sym1","A"
"9228_1_1.3T2",10,11,13,"pre","VNT",1,"sym",2,0,1,3,2,5,1,0,"small single","Untrained_Acc",112.205,7.6,119.814,6,1,1,122.532,2.722,0,2.722,NA,"sym1","A"
"9228_1_1.3T2",11,12,17,"pre","VNT",1,"sym",2,0,1,8,9,19,2,2,"large single","Untrained_Acc",125.808,7,132.8,6,2,1,135.401,2.603,0,2.603,NA,"sym1","A"
"9228_1_1.3T2",15,16,23,"pre","VNT",1,"sym",2,0,1,9,18,26,2,-1,"large double","Untrained_Acc",177.523,4.3,181.802,6,2,1,186.917,5.118,0,5.118,NA,"sym1","A"
"9228_1_1.3T2",4,5,21,"pre","VNT",1,"sym",2,0,1,13,9,22,1,0,"large double","Untrained_InAcc",44.521,4.9,49.416,6,NA,0,NA,NA,1,NA,NA,"sym1","A"
"9228_1_1.3T2",3,4,71,"pre","VNT",1,"sym",3,0,2,23,0,20,2,-3,"large double","Control_Acc",34.51,4,38.522,6,2,1,40.006,1.487,0,1.487,NA,"sym1","A"
"9228_1_1.3T2",7,8,63,"pre","VNT",1,"sym",3,0,2,7,0,8,2,1,"small single","Control_Acc",79.115,4.2,83.328,6,2,1,84.762,1.436,0,1.436,NA,"sym1","A"
"9228_1_1.3T2",8,9,69,"pre","VNT",1,"sym",3,0,2,18,0,18,1,0,"small double","Control_Acc",89.322,4.4,93.718,6,1,1,95.551,1.835,0,1.835,NA,"sym1","A"
"9228_1_1.3T2",12,13,67,"pre","VNT",1,"sym",3,0,2,15,0,15,1,0,"small double","Control_Acc",138.806,5.6,144.417,6,1,1,146.601,2.186,0,2.186,NA,"sym1","A"
"9228_1_1.3T2",13,14,61,"pre","VNT",1,"sym",3,0,2,3,0,3,1,0,"small single","Control_Acc",150.437,7.5,157.92,6,1,1,159.305,1.388,0,1.388,NA,"sym1","A"
"9228_1_1.3T2",17,18,65,"pre","VNT",1,"sym",3,0,2,10,0,10,1,0,"large single","Control_Acc",198.215,7.2,205.424,6,1,1,206.991,1.57,0,1.57,NA,"sym1","A"
"9228_1_1.3T2",0,1,43,"pre","VNT",1,"sym",3,0,2,2,16,15,2,-3,"small double","Trained_Acc",0.001,6.5,6.504,6,2,1,10.303,3.801,0,3.801,NA,"sym1","A"
"9228_1_1.3T2",5,6,39,"pre","VNT",1,"sym",3,0,2,5,8,13,1,0,"large single","Trained_Acc",55.405,4.1,59.502,6,1,1,64.967,5.469,0,5.469,NA,"sym1","A"
"9228_1_1.3T2",6,7,45,"pre","VNT",1,"sym",3,0,2,17,3,23,2,3,"small double","Trained_Acc",65.513,7.6,73.104,6,2,1,76.987,3.884,0,3.884,NA,"sym1","A"
"9228_1_1.3T2",11,12,47,"pre","VNT",1,"sym",3,0,2,16,8,24,1,0,"large double","Trained_Acc",125.803,7,132.812,6,1,1,136.811,4.001,0,4.001,NA,"sym1","A"
"9228_1_1.3T2",14,15,41,"pre","VNT",1,"sym",3,0,2,6,9,13,2,-2,"large single","Trained_Acc",163.931,7.6,171.507,6,2,1,175.706,4.201,0,4.201,NA,"sym1","A"
"9228_1_1.3T2",15,16,37,"pre","VNT",1,"sym",3,0,2,5,2,7,1,0,"small single","Trained_Acc",177.502,4.3,181.814,6,1,1,184.048,2.236,0,2.236,NA,"sym1","A"
"9228_1_1.3T2",1,2,59,"pre","VNT",1,"sym",3,0,2,5,19,22,2,-2,"large double","Untrained_Acc",12.515,5.7,18.209,6,2,1,21.309,3.102,0,3.102,NA,"sym1","A"
"9228_1_1.3T2",2,3,49,"pre","VNT",1,"sym",3,0,2,3,4,7,1,0,"small single","Untrained_Acc",24.203,4.3,28.515,6,1,1,30,1.487,0,1.487,NA,"sym1","A"
"9228_1_1.3T2",4,5,57,"pre","VNT",1,"sym",3,0,2,6,14,23,2,3,"small double","Untrained_Acc",44.533,4.9,49.412,6,2,1,53.36,3.951,0,3.951,NA,"sym1","A"
"9228_1_1.3T2",9,10,55,"pre","VNT",1,"sym",3,0,2,13,5,18,1,0,"small double","Untrained_Acc",99.728,6.5,106.205,6,1,1,111.353,5.151,0,5.151,NA,"sym1","A"
"9228_1_1.3T2",10,11,51,"pre","VNT",1,"sym",3,0,2,7,6,10,2,-3,"large single","Untrained_Acc",112.216,7.6,119.808,6,2,1,121.709,1.903,0,1.903,NA,"sym1","A"
"9228_1_1.3T2",16,17,53,"pre","VNT",1,"sym",3,0,2,8,7,13,2,-2,"large single","Untrained_Acc",187.808,4.4,192.204,6,2,1,197.867,5.666,0,5.666,NA,"sym1","A"
"9228_1_1.3T2",3,4,143,"pre","VNT",1,"sym",4,0,4,25,0,22,2,-3,"large double","Control_Acc",34.311,5,39.332,6,2,1,40.923,1.594,0,1.594,NA,"sym1","A"
"9228_1_1.3T2",5,6,137,"pre","VNT",1,"sym",4,0,4,13,0,13,1,0,"large single","Control_Acc",58.904,8,66.929,6,1,1,68.164,1.238,0,1.238,NA,"sym1","A"
